SampleID,Run,Anatidae,Batrachoseps attenuatus,Bos taurus,Brevoortia,Buteo,Cairina moschata,Canis,Cervus elaphus,Colaptes auratus,Columbidae,Corvus,Didelphis virginiana,Felidae,Felis catus,Gallus gallus,Homo sapiens,Junco hyemalis,Mephitis mephitis,Micropterus,Microtus californicus,Mus musculus,Neotamias,Neurotrichus gibbsii,Odocoileus,Oreochrimini,Oreortyx pictus,Ovis aries,Passer domesticus,Passeriformes,Peromyscus,Procyon lotor,Puma concolor,Rattus norvegicus,Rattus rattus,Salmo salar,Scombridae,Sorex,Spilogale gracilis,Sus scrofa,Sylvilagus bachmani,Thomomys bottae,Trochilidae,Turdus migratorius,Tyto alba,Urocyon cinereoargenteus,Ursus americanus,Zalophus californianus
S20_3719,MiniExp,0,0,0,0,0,0,134,0,0,0,2869,0,0,0,0,0,0,0,0,6,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0
S20_3720,MiniExp,0,0,0,0,0,0,3132,0,0,0,0,0,0,0,433,0,0,0,0,185,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,863,0,0,0,0,0,59,13,0
S20_3721,MiniExp,0,0,0,0,0,0,262,0,0,0,0,0,0,0,41,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3806,0,0,0,0,0,0
S20_3722,MiniExp,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,35,23,0,0,0,0,90,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,138,42,0
S20_3724,MiniExp,0,0,0,0,0,0,1537,0,0,0,0,0,0,0,0,11,0,0,0,161,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2078,0,277,0,0,0,0
S20_3725,MiniExp,0,0,0,0,0,0,2432,0,288,0,0,0,15,0,0,3,27,0,0,0,9,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0
S20_3726,MiniExp,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,0,0,0,0,0,0
S20_3727,MiniExp,0,0,0,0,0,0,108,0,0,0,0,0,0,0,4237,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
S20_3728,MiniExp,0,0,0,0,0,0,2210,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,12,0
S20_3729,MiniExp,12,0,0,0,0,0,3893,0,0,0,0,0,8,0,1408,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,200,0,0,0,0,0,0,0,0,0,40,0,0,0,49,24,0
S20_3730,MiniExp,0,0,0,0,0,0,411,0,0,0,0,0,26,316,0,339,0,0,0,0,0,0,0,0,0,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,139,0
S20_3731,MiniExp,0,0,0,0,0,0,5873,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
S20_3732,MiniExp,0,0,0,0,0,0,3954,0,0,0,0,0,0,0,72,38,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,5,0,0,0,0,0,0,506,0,0,0,82,21,0
S20_3733,MiniExp,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,606,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0
S20_3734,MiniExp,0,0,0,0,0,0,573,0,0,0,0,0,0,21,0,0,0,0,0,15,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0
S20_3735,MiniExp,0,0,0,0,0,0,1237,0,0,604,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,96,0,0,0,314,70,0
S20_3736,MiniExp,0,0,0,0,0,0,68,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,491,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0
S20_3737,MiniExp,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5612,0,0,0,0,0,0
S20_3738,MiniExp,0,0,0,0,0,0,853,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3189,0,0,0,255,49,0
S20_3739,MiniExp,0,0,0,0,0,0,4081,0,0,0,0,0,0,0,207,103,0,0,0,0,0,0,0,0,0,135,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0
S20_3740,MiniExp,0,0,0,0,0,0,4513,0,0,32,0,0,0,0,572,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,16,4,0
